,q,a,TARGET,id
0,什么是上海证券交易所集中竞价交易,投诉上市公司什么样的证据合法有效？,0,1
1,普通账户和信用账户可以共用同一张三方存管银行卡吗？,如何更换同一银行的三方存管银行卡？,1,2
2,我的借呗什么时候恢复额度,当日卖出股票后可以转出资金吗？,0,3
3,如何修改股票的资金帐户密码,如何开户？,0,4
4,股票是怎样命名和编号的？,深圳证券交易所证券代码编制原则是什么？,1,5
5,ATM机转账不成功是什么原因？,转账失败的原因？,1,6
6,新股打新中签后多久上市 要多久新股上市,新股中签后股份何时上市？,1,7
7,国债逆回购的手续费详细有哪些,深交所债券的费用有哪些？,1,8
8,信用值多少才不能使用花呗,新三版股票转让的计价单位？,0,9
9,在淘宝买东西能用花呗吗,如何重置信用账户密码？,0,10
10,广发证券申购新股怎么没有冻结资金,B股是约定购回的标的券吗？,0,11
11,可以用花呗直接交话费么,新股申购的回拨机制？,0,12
12,请问华泰证券客户号是哪一个？怎么取回我的客户号？,客户编号忘记了如何找回？,1,13
13,新三板股票代码是多少开头,B股的交收规则？,0,14
14,如何更改身份证号码,身份证号码变更后如何修改？,1,15
15,花呗一月份没有账单 二月份可以看到账单 但是不能分期,新三板协议转让的成交规则？,0,16
16,忘记账户密码,新三板做市转让的申报规则？,0,17
17,股票停牌的原因？,深港通和沪港通的交易日区别？,0,18
18,上交所可转债债转股能撤单吗？,上交所可转债债转股的转股数量规定？,1,19
19,想问下怎么知道自己开通创业板呢,佣金与手续费的区别？,0,20
20,上海A股卖出后资金多久可以从股票账户转账到银行账户?,当日卖出股票后可以转出资金吗？,1,21
21,我的花呗一直不能在淘宝使用，但是充话费就可以用花呗,新股申购受限后，到期是否需办理解限手续？,0,22
22,新股网上申购和网下申购有什么不同,新三板的投资者有哪些？,0,23
23,深港通怎么购买港股？,深港通股票交易如何操作？,1,24
24,太平洋证券股票交易手续费怎么算,如何收取股票交易佣金？,1,25
25,花呗分期付款有什么规则,深交所逆回购的起点金额？,0,26
26,什么叫开通创业板业务交易权限？,深圳市场大宗交易的条件？,0,27
27,"老的身份证过期了,新办的身份证还没发下来,要银行...",深交所债券的费用有哪些？,0,28
28,新股上市首日报价及停牌规定？,上交所新股上市首日临时停牌期间接受委托吗？,1,29
29,用花呗在哪充话费,如何修改账户交易密码？,0,30
30,股票能不能当天买当天卖,投诉上市公司什么样的证据合法有效？,0,31
31,工行卡与证劵第三方存管怎么解除？,网下打新缴款账号是否需与三方存管银行账号一致？,1,32
32,大宗交易 如何交易？在哪交易？有什么规则限制吗？,如何转让中小企业私募债券？,0,33
33,花呗负***，还了之后额度还会有***吗,新股IPO网上发行制度有哪些修改？,0,34
34,多个帐户都可以参与新股申购吗?,同一新股可多次申购吗？,1,35
35,"股票的资金密码和交易密码都忘了,怎么办??! 急!!!",外币证券转银行限额,0,36
36,网上申购的数量有限制吗,新三板协议转让的成交规则？,0,37
37,借呗全部还清可以恢复额度吗,新三板股价变动单位？,0,38
38,国债逆回购沪市和深市起点各是多少,深交所上市债券实行净价交易有哪些？,0,39
39,在借呗借了钱是一个月一个月的还吗,信用账户对应银行的券商代码？,0,40
40,申购新股和买卖股票一样，可以提前挂单么,B股价格的最小变动单位？,0,41
41,佣金宝三方存管为什么要银行账号和密码,网下打新缴款账号是否需与三方存管银行账号一致？,1,42
42,ST长油即将退市股票怎么办？,如何转让中小企业私募债券？,0,43
43,花呗使用可以分期操作几次,创业板如何开通,0,44
44,股票配股如何缴款,信用账户如何操作配股？,1,45
45,为什么支付宝账号与花呗账户不一致,身份证号码变更后如何修改？,0,46
46,上期所为啥没市价？交易系统中为啥不能用市价报单...,信用账户交易允许市价委托吗？,1,47
47,蚂蚁借呗可按年还吗,新股IPO网上发行制度有哪些修改？,0,48
48,我的账户出现了利欧配债，怎么办？,信用账户如何操作配债？,1,49
49,花呗预授权在哪里点,上交所债券质押式回购竞价交易的有效竞价范围？,0,50
50,借呗两个月还款行吗,深圳货币ETF收益计算规则,0,51
51,在哪里开股票账户？开户收费吗,A股开户是否收费？,1,52
52,股票融资融券怎么做的？,B股的交收规则？,0,53
53,请问能帮我查一下我的股票账号吗,如何查询证券账号？,1,54
54,你好！我的帐号忘了怎么办,新股申购何时可以挂单?,0,55
55,哪些深交所的上市债券实行全价交易？,深交所上市债券实行全价交易有哪些？,1,56
56,比较配股和增发新股筹资的优缺点？,A股股票配股与增发的缴款时间有何区别？,1,57
57,积成电子停牌原因是什么,A股停牌原因有哪些？,1,58
58,基金，第一次买着玩。不懂分红怎么还扣钱？,申购基金时扣费方式？,1,59
59,我花呗分期，但是提前还了，但是我又退了怎么办,如何调整佣金费率？,0,60
60,我好像关闭过花呗了，怎么付款是花呗付款，没有其他设置,为什么资金可用不可取？,0,61
61,新股上市的第一天停牌规则有哪些?,上交所新股上市首日临时停牌期间接受委托吗？,1,62
62,请问银证转帐，从银行划帐到资金卡，需要多少时间...,银证转账的时间？,1,63
63,证券账户密码忘记怎么办？,同一新股可多次申购吗？,0,64
64,充值不可以用花呗吗，为什么不支持,新股申购受限后，到期是否需办理解限手续？,0,65
65,如何查询证券账户的股份余额？,如何查询证券账号？,1,66
66,我想知道我我的花呗是不是临时额度,忘记交易密码怎么办？,0,67
67,A向B买入新三板股票，此股属于新三板做市商转让，...,新三板做市转让的申报规则？,1,68
68,新股首日涨幅限制规定,创业板如何开通,0,69
69,余额宝，银行卡等等自动还款未成功会不会用花呗可用额度扣应还金额,忘记资金密码怎么办？,0,70
70,我的花呗额度怎么是负的的,申购新股后为何查询不到配号？,0,71
71,还有花呗不涨,信用账户的使用限制,0,72
