客户询问,模型预测标准问Top1,模型预测标准问Top5,top1_Preds,知识库标准问,Top1是否预测正确,Top5是否包含正确标准问
银行转证券作废是怎么回事,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', 'B股实行T+0回转交易吗？', '信用账户资金无法转出的原因', '银证转账的时间？']",0.998900294,证券转银行为什么转不了？,1,1
请问 我为什么不可以交易ST股票了？,ST股票为何无法买入？,"['ST股票为何无法买入？', '上海ST、*ST股的交易规则？', '信用账户可以交易哪些股票？', '退市股票可以交易吗？', '深圳市场大宗交易的条件？']",0.117207572,ST股票为何无法买入？,1,1
新股上市首日的涨跌幅度是不是有限制啊,新股上市首日有涨跌幅限制吗？,"['新股上市首日有涨跌幅限制吗？', '网下打新申报价格有什么规定？', '上交所新股上市首日临时停牌期间接受委托吗？', '网下打新申报数量有什么规定？', '深交所新股上市首日临时停牌期间接受委托吗？']",0.99941349,新股上市首日有涨跌幅限制吗？,1,1
忘了我的客户号了,手机账号忘记了怎么办,"['手机账号忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '客户编号忘记了如何找回？', '手机账户密码忘记了怎么办', '信用账户对应银行的券商代码？']",0.984283209,手机账号忘记了怎么办,1,1
想问下如何更改登录密码和交易密码,如何修改交易密码,"['如何修改交易密码', '如何修改账户交易密码？', '忘记交易密码怎么办？', '如何修改账户资金密码？', '忘记资金密码怎么办？']",0.999645114,如何修改交易密码,1,1
登陆密码忘记了怎么办？,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何重置信用账户密码？']",0.999880791,手机账户密码忘记了怎么办,1,1
资金密码忘记了怎么办,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999931693,忘记资金密码怎么办？,1,1
账号打不开,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何查询证券账号？', '如何注销信用账户？']",0.975177109,如何开户？,1,1
请问我中签了一个新股，交了钱，为什么几天都不见上市的？,新股中签后股份何时上市？,"['新股中签后股份何时上市？', '新股中签如何缴款？', '新股中签扣款时对现金增利有什么影响？', '信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？', '新股中签扣款时对金快线有什么影响？']",0.998238325,新股中签后股份何时上市？,1,1
怎么开通创业板?,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.991479337,创业板如何开通,1,1
